11	1	0.024538383238522244	歸
60	1	0.019734880871208373	悲
678	1	0.010729277560445631	衣
55	1	0.00753532661866892	飛
65	1	0.006907382733779843	誰
10	1	0.005128208393260792	飢
201	1	0.004875286550736026	徊
61	1	0.004733730824548425	衰
171	1	0.004650650468791848	輝
42	1	0.004437470119882808	遲
911	1	0.004395607194223538	晞
972	1	0.003956046474801184	糜
9	1	0.0029304047961490245	迤
190	1	0.002767604529696301	懷
697	1	0.002197803597111769	希
1200	1	0.0021978035971117684	帷
1030	1	0.002093146282963589	累
607	1	0.0018070829576252322	依
676	1	0.0014652023980745122	乖
480	1	0.001278722092865029	知
674	1	0.0009768015987163415	違
677	1	0.0009768015987163415	追
1148	1	0.0006279438848890767	稀
1182	1	0.0006279438848890767	葵
1183	1	0.0006279438848890767	羹
1000	1	0.0005494508992779422	齊
205	1	0.0004884007993581707	開
189	1	0.0001628002664527236	階
39	2	0.01861512780699845	德
184	2	0.011522057567654051	則
344	2	0.011194618967224138	極
248	2	0.0076556825299393255	北
70	2	0.007472532230180013	國
353	2	0.00586080959229805	福
40	2	0.004835167913645891	服
69	2	0.0023395973775705925	立
339	2	0.002197803597111769	殖
234	2	0.0013045027802211788	息
493	2	0.0012558877697781533	食
335	2	0.0006279438848890767	翼
71	2	0.0005494508992779422	得
148	2	0.0005494508992779422	死
229	2	0.0005494508992779422	葬
461	2	0.0005494508992779422	烏
462	2	0.0005494508992779422	激
557	2	0.0004253813413764714	力
197	2	0.0001628002664527236	域
79	2	0.0001417937804588238	逸
243	2	0.0001417937804588238	復
544	2	0.0001417937804588238	勖
545	2	0.0001417937804588238	及
548	2	0.0001417937804588238	墜
549	2	0.0001417937804588238	溉
550	2	0.0001417937804588238	昧
551	2	0.0001417937804588238	誥
553	2	0.0001417937804588238	忒
554	2	0.0001417937804588238	式
555	2	0.0001417937804588238	測
556	2	0.0001417937804588238	稷
558	2	0.0001417937804588238	音
559	2	0.0001417937804588238	迄
560	2	0.0001417937804588238	卒
341	2	0.0001417937804588238	緒
